WordOrder	Word	Participant	Position	Vowel	Weight	Focus	Final	Duration	F0	H1H2	Intensity	SpectralBalance
1	tutus	S1	penult	u	light	in-focus	final	0.075387669093439	214.802251291271	5.77910901183898	69.3471351812275	40.893180580588
1	tutus	S1	ultima	u	light	in-focus	final	0.188776293386669	220.827883185948	1.46813155710723	72.617902003638	39.2416661007668
3	tatap	S1	penult	a	light	in-focus	final	0.069694478151405	218.694801356583	2.76661358329308	76.7541133450996	34.0305827736247
3	tatap	S1	ultima	a	light	in-focus	final	0.14893730960091	225.716920761714	5.57502173366704	77.7455326496296	32.6984881910684
4	pipis	S1	penult	i	light	in-focus	final	0.079939774166931	217.478708284463	2.90174141514568	72.2391033710161	33.6872512110525
4	pipis	S1	ultima	i	light	in-focus	final	0.213314667214792	228.313568426091	-1.06920736605678	74.2142821048274	34.760034892803
5	cete	S1	penult	e	light	in-focus	final	0.031350864771923	234.591601101629	3.5516686913861	72.1257229385412	35.1392249802566
5	cete	S1	ultima	e	light	in-focus	final	0.376729209281947	198.68043838289	1.43521760938238	69.7512666013991	40.2366737679685
6	tatap	S1	penult	a	light	in-focus	final	0.083444275809889	208.964055015653	5.08001109249937	75.3843914182265	35.1893088596391
6	tatap	S1	ultima	a	light	in-focus	final	0.170883225007486	232.120424778712	8.21550235826993	75.213492693422	33.677965264738
7	tutus	S1	penult	u	light	in-focus	final	0.090544539371194	213.043816858418	1.82708259657536	72.83954423898	42.9782971655729
7	tutus	S1	ultima	u	light	in-focus	final	0.205772577637724	228.950523258698	2.09388183051445	73.8358755290394	37.2275923436638
8	pantas	S1	penult	a	heavy	in-focus	final	0.075585642505104	216.237893777373	6.06576077546296	74.8600216909708	33.6077598510115
8	pantas	S1	ultima	a	heavy	in-focus	final	0.207508324968131	212.627852868561	7.63545500079171	74.7230498696035	31.8554683288978
9	tungku	S1	penult	u	heavy	in-focus	final	0.067716340103537	216.629681991393	1.88596191822264	74.1063705060133	45.1631711600326
9	tungku	S1	ultima	u	heavy	in-focus	final	0.286323104042189	216.737685901781	2.11916024415105	70.9567465730021	52.438346224262
10	sinting	S1	penult	i	heavy	in-focus	final	0.082379473221124	229.598197400732	2.94872697163036	74.9803451701899	32.1698528613784
10	sinting	S1	ultima	i	heavy	in-focus	final	0.138210367981898	231.505668164933	2.81037714829688	74.9150550904303	30.750591762058
11	tatap	S1	penult	a	light	in-focus	final	0.070933566648151	208.43104089284	3.99661928441833	75.7581317959017	36.47536756183
11	tatap	S1	ultima	a	light	in-focus	final	0.103263911935215	221.900259067484	4.71566360486001	78.2026390875988	37.3341959246941
12	cingki	S1	penult	i	heavy	in-focus	final	0.050421433388067	231.179689702876	7.31871561851045	72.1091811561604	35.3329089086079
12	cingki	S1	ultima	i	heavy	in-focus	final	0.260554499371523	212.331346506154	5.8425831204508	71.5059391461548	30.7397764329702
15	tempe	S1	penult	e	heavy	in-focus	final	0.038288302923633	261.031241170391	1.02509336703933	74.8150067890727	34.8837708711489
15	tempe	S1	ultima	e	heavy	in-focus	final	0.331012621333471	226.509045075489	-1.14017926926424	73.3201079616424	35.7190165286413
16	cingki	S1	penult	i	heavy	in-focus	final	0.101340068221887	224.968531231751	7.28183413149763	72.9915908238335	30.5060102926268
16	cingki	S1	ultima	i	heavy	in-focus	final	0.316912019715161	212.744822861362	6.39284541135845	72.9215299382418	31.3064139252234
17	titi	S1	penult	i	light	in-focus	final	0.084777528585605	218.642640649686	4.74350116084764	73.8976817093998	34.5707972847607
17	titi	S1	ultima	i	light	in-focus	final	0.347346140331496	225.000548573543	2.03197990584724	73.1009929435892	35.3610608738737
18	tutus	S1	penult	u	light	in-focus	final	0.071956950671421	218.739594037117	1.37061470843793	72.7585416749946	41.049626035619
18	tutus	S1	ultima	u	light	in-focus	final	0.281618950890319	226.515573671554	0.279918747940336	73.972547893573	38.9022266998494
22	tempe	S1	penult	e	heavy	in-focus	final	0.035317873508021	254.600016972445	4.71342343442537	75.7200822789889	34.6278194964511
22	tempe	S1	ultima	e	heavy	in-focus	final	0.4298659686592	240.665264512367	-1.91649977828867	76.072578480937	34.3346646391331
26	susu	S1	penult	u	light	in-focus	final	0.099226598237067	220.56984564855	3.03732827682579	74.7866251659408	35.4653494049581
26	susu	S1	ultima	u	light	in-focus	final	0.340636605692907	239.946248227594	-1.05389715830972	74.4027206629984	34.9645016165103
27	tuntun	S1	penult	u	heavy	in-focus	final	0.077564187455295	226.586669167165	4.09668977244537	74.6676259919899	40.5737888928247
27	tuntun	S1	ultima	u	heavy	in-focus	final	0.184160466616248	247.920752419327	-2.46399355168399	78.2285116459347	35.3658726849814
28	susu	S1	penult	u	light	in-focus	final	0.108970190348771	227.174315480955	4.05787717066028	72.3694023022106	34.4434117723303
28	susu	S1	ultima	u	light	in-focus	final	0.315443834912969	234.780108593029	6.66773476325647	71.0558181942642	39.8903522778318
29	cete	S1	penult	e	light	in-focus	final	0.049196720353507	227.614200349543	0.934023306878508	76.6959287049805	39.4473320084568
29	cete	S1	ultima	e	light	in-focus	final	0.362867276297976	217.813553496011	0.252595373966919	72.6128922758964	40.1601325537064
